Brand,Model Name,Series,ScreenSize,processorFrequency,Rear Camera MP,frontCameraMP,operatingSystem,ramIn,batteryCapacity,InternalStorage,url,Color
SAMSUNG,A9 Pro,A Series,6,1.4GHz quad-core,16,8,6.0.1,4,5000,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/A9+Pro.jpg,N/A
SAMSUNG,A5'17,A Series,5.2,1.9GHz Octa-core,16,16,6.0.1,3,3000,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/A5+17.jpg,"Black Sky Gold Sand,Blue Mist And Peach Cloud"
SAMSUNG,A7'16,A Series,5.5,1.6GHz Octa-core,13,5,5.1.1,3,3300,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/A7+16.jpg,"Black ,White,Gold,Pink"
SAMSUNG,A5 16,A Series,5.2,1.6GHz Octa-core,13,5,5.1.1,2,2900,16,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/A5+16.jpg,"Black Sky Gold Sand,Blue Mist And Peach Cloud"
SAMSUNG,B351 Metro,B Series,2.4,N/A,N/A,N/A,N/A,N/A,1200,N/A,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/B351+Metro.jpg,N/A
SAMSUNG,B110E,B Series,2.9,N/A,N/A,N/A,N/A,N/A,800,N/A,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/B110E.jpg,N/A
SAMSUNG,B310E,B Series,2,N/A,N/A,N/A,N/A,N/A,800,N/A,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/B310E.jpg,N/A
SAMSUNG,B355E,B Series,2.8,N/A,N/A,N/A,N/A,N/A,1200,N/A,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/B355E.jpg,N/A
SAMSUNG,B350E,B Series,2.4,N/A,N/A,N/A,N/A,N/A,1200,N/A,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/B350E.jpg,N/A
SAMSUNG,B313E,B Series,2,N/A,N/A,N/A,N/A,N/A,1000,N/A,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/B313E.jpg,N/A
SAMSUNG,C7 Pro,C Series,5.7,2.2GHz Octa-core,16,16,6.0.1,4,3300,64,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/C7+Pro.jpeg,"Navy Blue,Gold"
SAMSUNG,C9 Pro,C Series,6,1.44GHz Octa-core,16,16,6.0.1,6,4000,64,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/C9+Pro.jpg,"Gold,Rose Gold"
SAMSUNG,J7 Nxt 32Gb,J Series,5.5,1.6GHz Octa-core,13,5,7,3,3000,32,,"Black,Gold"
SAMSUNG,J2- 2017,J Series,4.7,1.9GHz Octa-core,5,2,Android,1,2000,8,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/J2-+2017.jpg,"Black ,Gold"
SAMSUNG,J5 Prime 16Gb,J Series,5,1.4GHz Quad-core,13,5,6.0.1,2,2400,16,,Black Gold
SAMSUNG,J7 Pro,J Series,5.5,1.9GHz Octa-core,13,13,7.1,3,3600,32,https://s3-ap-southeast-1.amazonaws.com/mydukan/1+Portal/Samsung/J7+Pro.jpg,"Black ,Gold"
